words,links,capital_words,spam_word_count,is_spam
187,2,0,2,0
87,0,1,0,0
862,3,5,5,1
217,8,0,10,1
741,2,21,8,1
373,4,1,3,0
35,2,6,4,0
339,2,1,2,0
66,0,1,0,0
911,0,5,8,1
82,2,2,1,0
67,8,23,7,1
401,0,1,0,0
258,0,3,2,0
39,0,3,1,0
349,10,25,6,1
183,8,13,9,1
615,2,14,4,1
321,9,11,6,1
160,2,2,0,0
193,0,0,2,0
181,7,30,6,1
214,4,19,9,1
219,1,8,0,0
132,3,5,10,1
166,9,29,7,1
212,2,3,1,0
35,0,1,0,0
999,3,2,9,1
249,0,3,3,0
301,1,9,2,0
62,2,10,1,0
577,3,19,5,1
898,2,3,7,1
106,0,1,3,0
207,0,0,2,0
132,0,10,0,0
171,0,3,1,0
590,2,30,8,1
239,1,0,2,0
225,2,8,2,0
309,0,26,8,1
459,2,7,8,1
78,8,17,2,1
168,3,21,3,1
166,2,1,2,0
99,0,1,1,0
395,10,13,3,1
206,4,20,6,1
811,8,27,10,1
80,3,1,0,0
160,0,3,2,0
961,9,30,6,1
255,2,1,2,0
115,10,29,8,1
287,5,14,10,1
275,1,0,0,0
40,1,5,0,0
318,9,12,0,1
872,5,0,10,1
738,4,28,7,1
55,2,0,1,0
90,3,7,5,1
197,6,14,4,1
195,2,0,1,0
79,0,3,2,0
243,2,0,0,0
506,10,9,10,1
892,6,8,6,1
214,2,3,0,0
29,2,3,5,0
224,5,7,0,0
706,6,7,4,1
66,0,0,1,0
805,3,30,0,1
686,8,14,10,1
55,7,22,10,1
229,0,1,2,0
153,2,4,0,0
596,9,29,7,1
229,3,24,6,1
318,2,19,10,1
44,2,2,0,0
214,2,0,0,0
177,0,3,4,0
159,0,1,2,0
76,4,0,2,0
204,1,0,6,0
165,0,20,4,1
156,1,9,1,0
67,7,22,9,1
136,0,1,2,0
51,1,2,0,0
458,9,16,5,1
949,8,19,9,1
118,9,13,10,1
196,4,2,3,0
275,0,9,1,0
